year,borough,births
1939,City.of.London,44
1940,City.of.London,44
1941,City.of.London,37
1942,City.of.London,29
1943,City.of.London,23
1944,City.of.London,39
1945,City.of.London,36
1946,City.of.London,33
1947,City.of.London,48
1948,City.of.London,44
1949,City.of.London,31
1950,City.of.London,37
1951,City.of.London,39
1952,City.of.London,38
1953,City.of.London,30
1954,City.of.London,22
1955,City.of.London,33
1956,City.of.London,46
1957,City.of.London,32
1958,City.of.London,32
1959,City.of.London,28
1960,City.of.London,34
1961,City.of.London,27
1962,City.of.London,30
1963,City.of.London,42
1964,City.of.London,32
1939,Battersea,2003
1940,Battersea,1794
1941,Battersea,1294
1942,Battersea,1563
1943,Battersea,1633
1944,Battersea,1628
1945,Battersea,1615
1946,Battersea,2548
1947,Battersea,2638
1948,Battersea,2242
1949,Battersea,2015
1950,Battersea,1922
1951,Battersea,1863
1952,Battersea,1776
1953,Battersea,1786
1954,Battersea,1725
1955,Battersea,1735
1956,Battersea,1809
1957,Battersea,1802
1958,Battersea,1890
1959,Battersea,2031
1960,Battersea,1950
1961,Battersea,2062
1962,Battersea,2170
1963,Battersea,2380
1964,Battersea,2252
1939,Bermondsey,1275
1940,Bermondsey,1233
1941,Bermondsey,735
1942,Bermondsey,828
1943,Bermondsey,909
1944,Bermondsey,867
1945,Bermondsey,856
1946,Bermondsey,1363
1947,Bermondsey,1496
1948,Bermondsey,1222
1949,Bermondsey,1147
1950,Bermondsey,1158
1951,Bermondsey,1055
1952,Bermondsey,984
1953,Bermondsey,985
1954,Bermondsey,972
1955,Bermondsey,915
1956,Bermondsey,919
1957,Bermondsey,929
1958,Bermondsey,892
1959,Bermondsey,858
1960,Bermondsey,860
1961,Bermondsey,913
1962,Bermondsey,878
1963,Bermondsey,873
1964,Bermondsey,927
1939,Bethnal.Green,1154
1940,Bethnal.Green,1006
1941,Bethnal.Green,777
1942,Bethnal.Green,914
1943,Bethnal.Green,889
1944,Bethnal.Green,878
1945,Bethnal.Green,881
1946,Bethnal.Green,1323
1947,Bethnal.Green,1362
1948,Bethnal.Green,1137
1949,Bethnal.Green,1041
1950,Bethnal.Green,970
1951,Bethnal.Green,992
1952,Bethnal.Green,984
1953,Bethnal.Green,903
1954,Bethnal.Green,931
1955,Bethnal.Green,860
1956,Bethnal.Green,897
1957,Bethnal.Green,805
1958,Bethnal.Green,866
1959,Bethnal.Green,827
1960,Bethnal.Green,814
1961,Bethnal.Green,821
1962,Bethnal.Green,836
1963,Bethnal.Green,821
1964,Bethnal.Green,822
1939,Camberwell,3040
1940,Camberwell,2666
1941,Camberwell,1965
1942,Camberwell,2357
1943,Camberwell,2490
1944,Camberwell,2485
1945,Camberwell,2431
1946,Camberwell,3893
1947,Camberwell,4237
1948,Camberwell,3383
1949,Camberwell,3166
1950,Camberwell,2940
1951,Camberwell,2929
1952,Camberwell,2902
1953,Camberwell,2774
1954,Camberwell,2676
1955,Camberwell,2654
1956,Camberwell,2741
1957,Camberwell,2974
1958,Camberwell,3061
1959,Camberwell,3125
1960,Camberwell,3112
1961,Camberwell,3378
1962,Camberwell,3506
1963,Camberwell,3714
1964,Camberwell,3651
1939,Chelsea,539
1940,Chelsea,428
1941,Chelsea,299
1942,Chelsea,343
1943,Chelsea,465
1944,Chelsea,414
1945,Chelsea,579
1946,Chelsea,812
1947,Chelsea,958
1948,Chelsea,886
1949,Chelsea,875
1950,Chelsea,827
1951,Chelsea,813
1952,Chelsea,789
1953,Chelsea,786
1954,Chelsea,795
1955,Chelsea,760
1956,Chelsea,821
1957,Chelsea,739
1958,Chelsea,736
1959,Chelsea,721
1960,Chelsea,711
1961,Chelsea,654
1962,Chelsea,624
1963,Chelsea,622
1964,Chelsea,615
1939,Deptford,1412
1940,Deptford,1249
1941,Deptford,880
1942,Deptford,1019
1943,Deptford,1140
1944,Deptford,1048
1945,Deptford,1115
1946,Deptford,1812
1947,Deptford,1850
1948,Deptford,1561
1949,Deptford,1424
1950,Deptford,1264
1951,Deptford,1292
1952,Deptford,1309
1953,Deptford,1137
1954,Deptford,1094
1955,Deptford,1051
1956,Deptford,1061
1957,Deptford,1049
1958,Deptford,1165
1959,Deptford,1230
1960,Deptford,1306
1961,Deptford,1385
1962,Deptford,1593
1963,Deptford,1613
1964,Deptford,1672
1939,Finsbury,687
1940,Finsbury,574
1941,Finsbury,437
1942,Finsbury,454
1943,Finsbury,456
1944,Finsbury,434
1945,Finsbury,474
1946,Finsbury,695
1947,Finsbury,771
1948,Finsbury,679
1949,Finsbury,666
1950,Finsbury,629
1951,Finsbury,635
1952,Finsbury,677
1953,Finsbury,672
1954,Finsbury,700
1955,Finsbury,695
1956,Finsbury,700
1957,Finsbury,713
1958,Finsbury,637
1959,Finsbury,622
1960,Finsbury,645
1961,Finsbury,620
1962,Finsbury,573
1963,Finsbury,556
1964,Finsbury,554
1939,Fulham,1831
1940,Fulham,1676
1941,Fulham,1338
1942,Fulham,1698
1943,Fulham,1821
1944,Fulham,1754
1945,Fulham,1806
1946,Fulham,2493
1947,Fulham,2607
1948,Fulham,2263
1949,Fulham,2048
1950,Fulham,1798
1951,Fulham,1693
1952,Fulham,1730
1953,Fulham,1680
1954,Fulham,1702
1955,Fulham,1700
1956,Fulham,1752
1957,Fulham,1783
1958,Fulham,1779
1959,Fulham,1790
1960,Fulham,1881
1961,Fulham,1873
1962,Fulham,1912
1963,Fulham,2098
1964,Fulham,2070
1939,Greenwich,1348
1940,Greenwich,1168
1941,Greenwich,909
1942,Greenwich,1116
1943,Greenwich,1203
1944,Greenwich,1172
1945,Greenwich,1188
1946,Greenwich,1749
1947,Greenwich,1916
1948,Greenwich,1665
1949,Greenwich,1541
1950,Greenwich,1513
1951,Greenwich,1341
1952,Greenwich,1296
1953,Greenwich,1403
1954,Greenwich,1360
1955,Greenwich,1300
1956,Greenwich,1320
1957,Greenwich,1253
1958,Greenwich,1320
1959,Greenwich,1337
1960,Greenwich,1239
1961,Greenwich,1314
1962,Greenwich,1347
1963,Greenwich,1403
1964,Greenwich,1446
1939,Hackney,2732
1940,Hackney,2565
1941,Hackney,1762
1942,Hackney,2398
1943,Hackney,2625
1944,Hackney,2571
1945,Hackney,2531
1946,Hackney,3451
1947,Hackney,3622
1948,Hackney,2996
1949,Hackney,2712
1950,Hackney,2592
1951,Hackney,2565
1952,Hackney,2487
1953,Hackney,2464
1954,Hackney,2395
1955,Hackney,2340
1956,Hackney,2500
1957,Hackney,2600
1958,Hackney,2794
1959,Hackney,3135
1960,Hackney,3278
1961,Hackney,3655
1962,Hackney,3803
1963,Hackney,3984
1964,Hackney,4020
1939,Hammersmith,1829
1940,Hammersmith,1600
1941,Hammersmith,1366
1942,Hammersmith,1584
1943,Hammersmith,1780
1944,Hammersmith,1803
1945,Hammersmith,1740
1946,Hammersmith,2331
1947,Hammersmith,2526
1948,Hammersmith,2136
1949,Hammersmith,1969
1950,Hammersmith,1998
1951,Hammersmith,1886
1952,Hammersmith,1762
1953,Hammersmith,1741
1954,Hammersmith,1787
1955,Hammersmith,1711
1956,Hammersmith,1826
1957,Hammersmith,1893
1958,Hammersmith,2030
1959,Hammersmith,1988
1960,Hammersmith,2224
1961,Hammersmith,2302
1962,Hammersmith,2338
1963,Hammersmith,2468
1964,Hammersmith,2399
1939,Hampstead,980
1940,Hampstead,796
1941,Hampstead,643
1942,Hampstead,917
1943,Hampstead,1173
1944,Hampstead,1106
1945,Hampstead,1210
1946,Hampstead,1571
1947,Hampstead,1711
1948,Hampstead,1507
1949,Hampstead,1431
1950,Hampstead,1508
1951,Hampstead,1419
1952,Hampstead,1444
1953,Hampstead,1414
1954,Hampstead,1460
1955,Hampstead,1375
1956,Hampstead,1488
1957,Hampstead,1463
1958,Hampstead,1537
1959,Hampstead,1589
1960,Hampstead,1682
1961,Hampstead,1731
1962,Hampstead,1775
1963,Hampstead,1745
1964,Hampstead,1807
1939,Holborn,229
1940,Holborn,218
1941,Holborn,180
1942,Holborn,203
1943,Holborn,237
1944,Holborn,217
1945,Holborn,245
1946,Holborn,289
1947,Holborn,339
1948,Holborn,357
1949,Holborn,328
1950,Holborn,301
1951,Holborn,289
1952,Holborn,289
1953,Holborn,274
1954,Holborn,252
1955,Holborn,254
1956,Holborn,256
1957,Holborn,253
1958,Holborn,215
1959,Holborn,213
1960,Holborn,207
1961,Holborn,216
1962,Holborn,188
1963,Holborn,230
1964,Holborn,166
1939,Islington,4168
1940,Islington,3850
1941,Islington,2938
1942,Islington,3379
1943,Islington,3564
1944,Islington,3879
1945,Islington,3703
1946,Islington,5296
1947,Islington,5538
1948,Islington,4605
1949,Islington,4390
1950,Islington,4125
1951,Islington,3872
1952,Islington,3867
1953,Islington,3964
1954,Islington,4073
1955,Islington,4011
1956,Islington,4317
1957,Islington,4574
1958,Islington,4635
1959,Islington,4930
1960,Islington,5222
1961,Islington,5456
1962,Islington,5798
1963,Islington,5728
1964,Islington,5775
1939,Kensington,2064
1940,Kensington,1674
1941,Kensington,1199
1942,Kensington,1504
1943,Kensington,1702
1944,Kensington,1779
1945,Kensington,1939
1946,Kensington,2678
1947,Kensington,2993
1948,Kensington,2929
1949,Kensington,2666
1950,Kensington,2786
1951,Kensington,2623
1952,Kensington,2807
1953,Kensington,2648
1954,Kensington,2718
1955,Kensington,2698
1956,Kensington,2801
1957,Kensington,2770
1958,Kensington,2982
1959,Kensington,3022
1960,Kensington,3115
1961,Kensington,3318
1962,Kensington,3340
1963,Kensington,3322
1964,Kensington,3199
1939,Lambeth,3567
1940,Lambeth,3271
1941,Lambeth,2251
1942,Lambeth,2755
1943,Lambeth,3081
1944,Lambeth,3045
1945,Lambeth,3245
1946,Lambeth,4793
1947,Lambeth,5131
1948,Lambeth,4296
1949,Lambeth,4108
1950,Lambeth,3891
1951,Lambeth,3829
1952,Lambeth,3647
1953,Lambeth,3646
1954,Lambeth,3665
1955,Lambeth,3593
1956,Lambeth,3975
1957,Lambeth,4188
1958,Lambeth,4494
1959,Lambeth,4666
1960,Lambeth,4808
1961,Lambeth,4908
1962,Lambeth,5334
1963,Lambeth,5558
1964,Lambeth,5580
1939,Lewisham,3135
1940,Lewisham,2833
1941,Lewisham,2030
1942,Lewisham,1407
1943,Lewisham,3141
1944,Lewisham,3035
1945,Lewisham,3077
1946,Lewisham,4491
1947,Lewisham,4806
1948,Lewisham,4260
1949,Lewisham,3828
1950,Lewisham,3508
1951,Lewisham,3437
1952,Lewisham,3174
1953,Lewisham,3231
1954,Lewisham,3227
1955,Lewisham,3130
1956,Lewisham,3200
1957,Lewisham,3293
1958,Lewisham,3272
1959,Lewisham,3475
1960,Lewisham,3600
1961,Lewisham,3798
1962,Lewisham,3891
1963,Lewisham,3993
1964,Lewisham,4168
1939,Paddington,1812
1940,Paddington,1556
1941,Paddington,1200
1942,Paddington,1407
1943,Paddington,1587
1944,Paddington,1647
1945,Paddington,1719
1946,Paddington,2385
1947,Paddington,2501
1948,Paddington,2355
1949,Paddington,2234
1950,Paddington,2160
1951,Paddington,2156
1952,Paddington,2092
1953,Paddington,2119
1954,Paddington,2156
1955,Paddington,2118
1956,Paddington,2293
1957,Paddington,2258
1958,Paddington,2363
1959,Paddington,2267
1960,Paddington,2502
1961,Paddington,2501
1962,Paddington,2698
1963,Paddington,2601
1964,Paddington,2489
1939,Poplar,2065
1940,Poplar,1689
1941,Poplar,949
1942,Poplar,1025
1943,Poplar,1152
1944,Poplar,1132
1945,Poplar,1240
1946,Poplar,1772
1947,Poplar,1959
1948,Poplar,1557
1949,Poplar,1357
1950,Poplar,1231
1951,Poplar,1268
1952,Poplar,1231
1953,Poplar,1302
1954,Poplar,1265
1955,Poplar,1176
1956,Poplar,1189
1957,Poplar,1127
1958,Poplar,1101
1959,Poplar,1125
1960,Poplar,1157
1961,Poplar,1361
1962,Poplar,1403
1963,Poplar,1335
1964,Poplar,1377
1939,St.Marylebone,837
1940,St.Marylebone,530
1941,St.Marylebone,468
1942,St.Marylebone,584
1943,St.Marylebone,701
1944,St.Marylebone,762
1945,St.Marylebone,793
1946,St.Marylebone,946
1947,St.Marylebone,1006
1948,St.Marylebone,968
1949,St.Marylebone,901
1950,St.Marylebone,870
1951,St.Marylebone,919
1952,St.Marylebone,932
1953,St.Marylebone,902
1954,St.Marylebone,855
1955,St.Marylebone,807
1956,St.Marylebone,809
1957,St.Marylebone,788
1958,St.Marylebone,781
1959,St.Marylebone,684
1960,St.Marylebone,745
1961,St.Marylebone,761
1962,St.Marylebone,767
1963,St.Marylebone,770
1964,St.Marylebone,735
1939,St.Pancras,2187
1940,St.Pancras,1948
1941,St.Pancras,1425
1942,St.Pancras,1778
1943,St.Pancras,1859
1944,St.Pancras,1918
1945,St.Pancras,1972
1946,St.Pancras,2471
1947,St.Pancras,2778
1948,St.Pancras,2444
1949,St.Pancras,2302
1950,St.Pancras,2220
1951,St.Pancras,2107
1952,St.Pancras,2179
1953,St.Pancras,2146
1954,St.Pancras,2151
1955,St.Pancras,2213
1956,St.Pancras,2359
1957,St.Pancras,2224
1958,St.Pancras,2306
1959,St.Pancras,2313
1960,St.Pancras,2348
1961,St.Pancras,2321
1962,St.Pancras,2534
1963,St.Pancras,2426
1964,St.Pancras,2260
1939,Shoreditch,1113
1940,Shoreditch,916
1941,Shoreditch,610
1942,Shoreditch,650
1943,Shoreditch,663
1944,Shoreditch,671
1945,Shoreditch,697
1946,Shoreditch,1003
1947,Shoreditch,1023
1948,Shoreditch,866
1949,Shoreditch,868
1950,Shoreditch,790
1951,Shoreditch,829
1952,Shoreditch,828
1953,Shoreditch,813
1954,Shoreditch,767
1955,Shoreditch,766
1956,Shoreditch,717
1957,Shoreditch,739
1958,Shoreditch,714
1959,Shoreditch,598
1960,Shoreditch,688
1961,Shoreditch,675
1962,Shoreditch,666
1963,Shoreditch,604
1964,Shoreditch,564
1939,Southwark,1969
1940,Southwark,1761
1941,Southwark,1096
1942,Southwark,1269
1943,Southwark,1252
1944,Southwark,1323
1945,Southwark,1300
1946,Southwark,2132
1947,Southwark,2404
1948,Southwark,2067
1949,Southwark,1880
1950,Southwark,1817
1951,Southwark,1759
1952,Southwark,1735
1953,Southwark,1667
1954,Southwark,1701
1955,Southwark,1636
1956,Southwark,1638
1957,Southwark,1639
1958,Southwark,1604
1959,Southwark,1501
1960,Southwark,1625
1961,Southwark,1698
1962,Southwark,1657
1963,Southwark,1571
1964,Southwark,1567
1939,Stepney,2467
1940,Stepney,2144
1941,Stepney,1117
1942,Stepney,1301
1943,Stepney,1353
1944,Stepney,1323
1945,Stepney,1454
1946,Stepney,2108
1947,Stepney,2218
1948,Stepney,2046
1949,Stepney,1843
1950,Stepney,1850
1951,Stepney,1860
1952,Stepney,1890
1953,Stepney,1920
1954,Stepney,1859
1955,Stepney,1828
1956,Stepney,1900
1957,Stepney,1859
1958,Stepney,1812
1959,Stepney,1798
1960,Stepney,1732
1961,Stepney,1873
1962,Stepney,1849
1963,Stepney,1817
1964,Stepney,1812
1939,Stoke.Newington,674
1940,Stoke.Newington,620
1941,Stoke.Newington,435
1942,Stoke.Newington,559
1943,Stoke.Newington,715
1944,Stoke.Newington,734
1945,Stoke.Newington,709
1946,Stoke.Newington,960
1947,Stoke.Newington,1066
1948,Stoke.Newington,913
1949,Stoke.Newington,952
1950,Stoke.Newington,872
1951,Stoke.Newington,860
1952,Stoke.Newington,808
1953,Stoke.Newington,763
1954,Stoke.Newington,816
1955,Stoke.Newington,792
1956,Stoke.Newington,858
1957,Stoke.Newington,888
1958,Stoke.Newington,945
1959,Stoke.Newington,1061
1960,Stoke.Newington,1113
1961,Stoke.Newington,1301
1962,Stoke.Newington,1293
1963,Stoke.Newington,1349
1964,Stoke.Newington,1427
1939,Wandsworth,4074
1940,Wandsworth,3717
1941,Wandsworth,2945
1942,Wandsworth,3831
1943,Wandsworth,4519
1944,Wandsworth,4340
1945,Wandsworth,4323
1946,Wandsworth,6343
1947,Wandsworth,6591
1948,Wandsworth,5527
1949,Wandsworth,5055
1950,Wandsworth,4653
1951,Wandsworth,4545
1952,Wandsworth,4338
1953,Wandsworth,4517
1954,Wandsworth,4437
1955,Wandsworth,4633
1956,Wandsworth,4866
1957,Wandsworth,5019
1958,Wandsworth,5165
1959,Wandsworth,5361
1960,Wandsworth,5568
1961,Wandsworth,5917
1962,Wandsworth,6338
1963,Wandsworth,6392
1964,Wandsworth,6632
1939,Westminster,991
1940,Westminster,838
1941,Westminster,626
1942,Westminster,662
1943,Westminster,829
1944,Westminster,793
1945,Westminster,942
1946,Westminster,1361
1947,Westminster,1442
1948,Westminster,1379
1949,Westminster,1250
1950,Westminster,1242
1951,Westminster,1246
1952,Westminster,1252
1953,Westminster,1207
1954,Westminster,1138
1955,Westminster,1073
1956,Westminster,1143
1957,Westminster,1069
1958,Westminster,1018
1959,Westminster,943
1960,Westminster,1023
1961,Westminster,1035
1962,Westminster,1047
1963,Westminster,1080
1964,Westminster,1005
1939,Woolwich,2133
1940,Woolwich,1846
1941,Woolwich,1438
1942,Woolwich,1942
1943,Woolwich,2070
1944,Woolwich,2053
1945,Woolwich,2020
1946,Woolwich,2921
1947,Woolwich,3148
1948,Woolwich,2514
1949,Woolwich,2519
1950,Woolwich,2188
1951,Woolwich,2266
1952,Woolwich,2196
1953,Woolwich,2098
1954,Woolwich,2046
1955,Woolwich,1969
1956,Woolwich,1970
1957,Woolwich,2010
1958,Woolwich,2006
1959,Woolwich,1953
1960,Woolwich,2179
1961,Woolwich,2178
1962,Woolwich,2336
1963,Woolwich,2405
1964,Woolwich,2477
